Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Complaint ID
2026-06-24T20:59:53.000Z,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,,None,JPMORGAN CHASE & CO.,CA,91773,None,Web,2026-06-24T21:26:54.000Z,Closed with explanation,Yes,23542166
2026-06-25T01:50:16.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Block, Inc.",NE,693XX,None,Web,2026-06-25T02:16:34.000Z,Closed with explanation,Yes,23551036
2026-06-25T02:03:15.000Z,Checking or savings account,Checking account,Opening an account,Account opened without my consent or knowledge,,None,JPMORGAN CHASE & CO.,AZ,85338,None,Web,2026-06-25T02:12:53.000Z,Closed with explanation,Yes,23551042
2026-06-25T04:43:40.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Paypal Holdings, Inc",MS,39577,Servicemember,Web,2026-06-25T05:00:40.000Z,Closed with non-monetary relief,Yes,23554586
2026-06-25T13:10:07.000Z,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,None,,None,JPMORGAN CHASE & CO.,FL,32836,None,Web,2026-06-25T13:17:58.000Z,Closed with monetary relief,Yes,23562317
2026-06-25T14:46:40.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,None,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30291,None,Web,2026-06-25T15:22:25.000Z,In progress,Yes,23566719
2026-06-25T15:06:02.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,None,Chime Financial Inc,PA,18017,None,Web,2026-06-25T16:31:46.000Z,Closed with non-monetary relief,Yes,23569716
2026-06-25T16:21:30.000Z,"Money transfer, virtual currency, or money service",International money transfer,Fraud or scam,None,,None,"Remitly, Inc.",FL,33033,None,Web,2026-06-25T17:05:19.000Z,Closed with explanation,Yes,23571344
2026-06-25T14:54:40.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Paypal Holdings, Inc",VA,220XX,None,Web,2026-06-25T15:40:22.000Z,Closed with explanation,Yes,23567430
2026-06-25T15:25:55.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,None,"Block, Inc.",GA,30291,None,Web,2026-06-25T16:01:31.000Z,Closed with explanation,Yes,23568393
2026-06-25T18:08:37.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,Chime Financial Inc,VA,225XX,None,Web,2026-06-25T18:42:43.000Z,In progress,Yes,23575372
2026-06-25T22:07:47.000Z,Checking or savings account,Checking account,Opening an account,Account opened without my consent or knowledge,,None,CAPITAL ONE FINANCIAL CORPORATION,None,None,None,Web,2026-06-25T22:37:50.000Z,Closed with explanation,Yes,23585415
2026-06-26T00:34:21.000Z,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"I am Trustee on my mothers XXXX account, and I was speaking with our XXXX lawyer on distributions, via email. On XX/XX/XXXX, I wired a large sum of money ( {$800000.00} ) to who I thought was my lawyer, but his or my email was compromised and spoofed, and I wired money to a phishing scam at CitiBank. My bank is XXXX XXXX. On Monday the XXXX XXXX  contacted me again to verify veracity, and I was told that Citibank had flagged their account as possible fraudulent account. The monies were on hold apparently, so upon discovering the fraud, we stopped the wire and demanded a Recall. Since then I have called nearly every day but my bank tells me its still under investigation. I have called Citibank numerous times, but they do not wish to provide information to me since I do not have an account there. They asked XXXX bank to have me submit the police report, which I did, to XXXX I have submitted police reports and have filed with XXXX as well. I call the FBI but they refuse to answer and only suggest XXXX which I have done. Citibank purposely avoids consumers calling, using automated recordings to avoid interaction. I have spoken with Citi Fraud Help but they tell me I need to reach my Ally Bank for info They have been stonewalling me with delay tactics, meanwhile this money is out there and they are not providing me resolution They are harboring a known XXXX XXXX scammer account, as they flagged it as fraud, yet they continue to delay the Recall. It has been weeks and I am getting the run around, and I want to escalate this. I wish to invoke the Know Your Customer ( KYC ) rule because Citibank are allowing a scam account to remain active, and are also holding my funds ransom. I need Citibank to be held responsible, just because I dont have an account at their institution doesn't mean they can skirt the law of allowing their customers to steal my family 's inheritance.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,91355,None,Web,2026-06-26T00:59:01.000Z,Closed with explanation,Yes,23589644
2026-06-26T00:47:53.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,Chime Financial Inc,GA,31204,None,Web,2026-06-26T00:57:54.000Z,Closed with explanation,Yes,23589623
2026-06-26T02:00:34.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,None,Chime Financial Inc,GA,30314,None,Web,2026-06-26T02:13:15.000Z,Closed with explanation,Yes,23591283
2026-06-26T02:03:42.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,Chime Financial Inc,NC,28227,None,Web,2026-06-26T02:14:07.000Z,In progress,Yes,23591306
2026-06-26T03:45:46.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,None,"Block, Inc.",IL,62208,None,Web,2026-06-26T04:01:19.000Z,Closed with explanation,Yes,23593684
